brand_final,size_oz_rounded,STORE,n_weeks,mean_q,mean_p,p_min,p_max,unit_price_std,mean_cost,mean_promo,mean_log_comp_price,revenue_total,unit_price_cv,baseline_q,baseline_rev,baseline_margin,baseline_profit,opt_price,opt_promo,opt_q,opt_rev,opt_profit,opt_hits_upper,opt_hits_lower,profit_lift_abs,profit_lift_pct,q_lift_ratio
General Mills,7.5,91,130,8.6077,2.7012,2.27,3.03,0.1844,2.2124,0.0308,1.1064,2984.97,0.0683,8.6077,23.2507,0.4888,4.2073,3.4845,1,8.3854,29.219,10.6673,True,False,6.4601,153.5455,0.9742
General Mills,7.5,100,64,10.5312,2.703,2.39,2.89,0.1232,2.1982,0.0312,1.088,1818.7,0.0456,10.5312,28.4656,0.5048,5.3161,3.3235,1,11.1436,37.0358,12.5402,True,False,7.2241,135.89,1.0581
General Mills,7.5,102,59,22.1695,2.7222,2.39,2.89,0.1725,2.1687,0.1017,1.0816,3484.97,0.0634,22.1695,60.3499,0.5535,12.2709,3.3235,1,23.0442,76.5874,26.6114,True,False,14.3406,116.8667,1.0395
General Mills,7.5,104,130,12.7923,2.8041,2.34,3.13,0.1803,2.2625,0.0308,1.1296,4575.33,0.0643,12.7923,35.8706,0.5416,6.9285,3.5995,1,12.5685,45.2402,16.8045,True,False,9.876,142.5423,0.9825
General Mills,7.5,113,62,11.0645,2.7919,2.27,3.03,0.2341,2.1725,0.0645,1.1302,1870.48,0.0839,11.0645,30.8914,0.6194,6.8538,3.4845,1,11.249,39.1973,14.7588,True,False,7.905,115.3378,1.0167
General Mills,7.5,114,59,10.7627,2.7161,2.39,2.89,0.1645,2.1888,0.1017,1.0802,1691.24,0.0606,10.7627,29.2326,0.5273,5.6753,3.3235,1,11.1441,37.0373,12.6453,True,False,6.97,122.8136,1.0354
General Mills,7.5,115,58,13.3621,2.7822,2.5,2.89,0.0954,2.1734,0.1034,1.1461,2129.8,0.0343,13.3621,37.1765,0.6088,8.1348,3.3235,1,14.4119,47.8981,16.5745,True,False,8.4397,103.749,1.0786
General Mills,7.5,121,137,11.7883,2.7156,2.5,2.79,0.0918,2.2555,0.0438,1.11,4387.59,0.0338,11.7883,32.0126,0.4601,5.4237,3.2085,1,13.2922,42.6481,12.6671,True,False,7.2434,133.55,1.1276
General Mills,7.5,122,64,11.5938,2.787,2.27,3.03,0.255,2.173,0.125,1.1309,2004.5,0.0915,11.5938,32.3121,0.614,7.1186,3.4845,1,11.4518,39.9039,15.0187,True,False,7.9001,110.9788,0.9878
General Mills,7.5,123,64,10.8906,2.7761,2.24,2.99,0.2335,2.185,0.125,1.1172,1893.2901,0.0841,10.8906,30.2334,0.5911,6.4369,3.4385,1,10.9326,37.5918,13.7036,True,False,7.2666,112.8899,1.0039
General Mills,7.5,124,116,9.6466,2.7235,2.5,2.89,0.0893,2.2054,0.0517,1.1279,3023.71,0.0328,9.6466,26.2727,0.5181,4.9979,3.3235,1,10.252,34.0726,11.4625,True,False,6.4646,129.3445,1.0628
General Mills,7.5,126,158,14.3608,2.7459,2.27,3.03,0.1656,2.2311,0.057,1.1359,6143.0601,0.0603,14.3608,39.4339,0.5149,7.394,3.4845,1,14.2331,49.5953,17.8401,True,False,10.4462,141.2799,0.9911
General Mills,7.5,128,115,11.4087,2.7378,2.5,2.89,0.0724,2.1959,0.0522,1.1262,3601.1,0.0264,11.4087,31.235,0.5419,6.1824,3.3235,1,12.2325,40.6549,13.7931,True,False,7.6107,123.1031,1.0722
General Mills,7.5,129,61,14.6393,2.7848,2.27,3.03,0.2495,2.1713,0.1311,1.1598,2414.42,0.0896,14.6393,40.767,0.6134,8.9804,3.4845,1,14.4019,50.1833,18.9124,True,False,9.932,110.5957,0.9838
General Mills,7.5,132,57,14.0351,2.7279,2.35,2.89,0.1753,2.1663,0.1053,1.0941,2140.49,0.0643,14.0351,38.2862,0.5616,7.8821,3.3235,1,14.6193,48.5873,16.9175,True,False,9.0354,114.6321,1.0416
General Mills,7.5,134,71,10.3944,2.7935,2.27,3.03,0.1943,2.1938,0.1127,1.1371,2013.93,0.0696,10.3944,29.0369,0.5997,6.2339,3.4845,1,10.3628,36.1093,13.3755,True,False,7.1416,114.5595,0.997
General Mills,9.0,8,354,34.5876,2.3779,1.3052,2.67,0.2831,1.9637,0.048,1.0545,27376.5803,0.1191,34.5876,82.2465,0.4142,14.3275,3.0705,1,33.3913,102.5279,36.9581,True,False,22.6306,157.9518,0.9654
General Mills,9.0,9,353,16.4958,2.3864,1.2987,2.67,0.2837,1.9666,0.0397,1.07,13200.7102,0.1189,16.4958,39.3659,0.4199,6.9261,3.0705,1,16.0811,49.3769,17.7526,True,False,10.8265,156.3156,0.9749
General Mills,9.0,14,350,25.4657,2.4343,1.2898,2.77,0.2775,1.9579,0.0486,1.1131,20433.1898,0.114,25.4657,61.9916,0.4764,12.1315,3.1855,1,24.0196,76.5145,29.4858,True,False,17.3543,143.051,0.9432
General Mills,9.0,18,348,25.9397,2.345,1.2896,2.67,0.2712,1.9686,0.0431,1.044,19877.1602,0.1157,25.9397,60.8286,0.3765,9.765,3.0705,1,24.498,75.2212,26.9955,True,False,17.2305,176.4509,0.9444
