brand_final,size_oz_rounded,STORE,beta_own,beta_cross,promo_theta,opt_price,opt_promo,opt_profit,baseline_profit,profit_lift_abs
General Mills,12.0,102,-1.73,0.65,0.43,3.9119,1,273.191,94.7499,178.441
General Mills,14.0,126,-1.73,0.65,0.43,4.3154,1,244.4033,85.05,159.3533
General Mills,15.0,126,-1.73,0.65,0.43,4.1096,1,207.3543,72.3111,135.0432
General Mills,18.0,126,-1.73,0.65,0.43,5.1995,1,223.4822,69.8643,153.6179
General Mills,20.0,126,-1.73,0.65,0.43,5.1635,1,320.6963,104.6533,216.043
Kellogg's,12.0,18,-1.73,0.65,0.43,3.7705,1,199.2385,57.5814,141.6571
Kellogg's,15.0,102,-1.73,0.65,0.43,4.3011,1,532.0811,186.6738,345.4073
Kellogg's,18.0,74,-1.73,0.65,0.43,5.2325,1,223.7678,67.9503,155.8175
Kellogg's,20.0,80,-1.73,0.65,0.43,5.1047,1,241.8641,75.3378,166.5264
Post,16.0,126,-1.73,0.65,0.43,4.054,1,195.063,67.054,128.009
General Mills,12.0,102,-1.73,0.65,0.51,3.9119,1,293.0161,94.7499,198.2662
General Mills,14.0,126,-1.73,0.65,0.51,4.3154,1,263.1029,85.05,178.0529
General Mills,15.0,126,-1.73,0.65,0.51,4.1096,1,222.7591,72.3111,150.448
General Mills,18.0,126,-1.73,0.65,0.51,5.1995,1,240.8947,69.8643,171.0304
General Mills,20.0,126,-1.73,0.65,0.51,5.1635,1,345.6832,104.6533,241.0299
Kellogg's,12.0,18,-1.73,0.65,0.51,3.7705,1,214.3341,57.5814,156.7527
Kellogg's,15.0,102,-1.73,0.65,0.51,4.3011,1,561.3549,186.6738,374.6811
Kellogg's,18.0,74,-1.73,0.65,0.51,5.2325,1,240.2123,67.9503,172.262
Kellogg's,20.0,80,-1.73,0.65,0.51,5.1047,1,258.111,75.3378,182.7733
Post,16.0,126,-1.73,0.65,0.51,4.054,1,208.3552,67.054,141.3012
General Mills,12.0,102,-1.5,0.0,0.3,3.9119,1,243.7659,94.7499,149.016
General Mills,14.0,126,-1.5,0.0,0.3,4.3154,1,216.79,85.05,131.74
General Mills,15.0,126,-1.5,0.0,0.3,4.1096,1,184.2915,72.3111,111.9805
General Mills,18.0,126,-1.5,0.0,0.3,5.1995,1,201.016,69.8643,131.1517
General Mills,20.0,126,-1.5,0.0,0.3,5.1635,1,281.8152,104.6533,177.1619
Kellogg's,12.0,18,-1.5,0.0,0.3,3.7705,1,182.2765,57.5814,124.6951
Kellogg's,15.0,102,-1.5,0.0,0.3,4.3011,1,495.5607,186.6738,308.8868
Kellogg's,18.0,74,-1.5,0.0,0.3,5.2325,1,210.0353,67.9503,142.085
Kellogg's,20.0,80,-1.5,0.0,0.3,5.1047,1,221.8111,75.3378,146.4733
Post,16.0,126,-1.5,0.0,0.3,4.054,1,178.0426,67.054,110.9885
General Mills,12.0,102,-1.5,0.0,0.43,3.9119,1,273.1579,94.7499,178.408
General Mills,14.0,126,-1.5,0.0,0.43,4.3154,1,244.3821,85.05,159.3321
General Mills,15.0,126,-1.5,0.0,0.43,4.1096,1,207.0519,72.3111,134.7409
General Mills,18.0,126,-1.5,0.0,0.43,5.1995,1,227.0807,69.8643,157.2164
General Mills,20.0,126,-1.5,0.0,0.43,5.1635,1,318.3567,104.6533,213.7034
